name,iso_code,capital,area,population
Baden-Wuerttemberg,BW,Stuttgart,35677,11069533
Bavaria,BY,München,70550,13076721
Berlin,BE,Berlin,892,3644826
Brandenburg,BB,Potsdam,29654,2511917
Bremen,HB,Bremen,420,682986
Hamburg,HH,Hamburg,755,1841179
Hesse,HE,Wiesbaden,21115,6265809
Mecklenburg-Western Pomerania,MV,Schwerin,23213,1609675
Lower Saxony,NI,Hannover,47616,7982448
North Rhine-Westphalia,NW,Düsseldorf,34113,17932651
Rhineland-Palatinate,RP,Mainz,19854,4084844
Saarland,SL,Saarbrücken,2569,990509
Saxony,SN,Dresden,18449,4077937
Saxony-Anhalt,ST,Magdeburg,20452,2208321
Schleswig-Holstein,SH,Kiel,15803,2896712
Thuringia,TH,Erfurt,16202,2143145
