date,land,confirmed,dead
2020-06-05,Thuringia,3051,169
2020-06-05,Mecklenburg-Western Pomerania,764,20
2020-06-05,Bavaria,47268,2481
2020-06-05,Berlin,6946,200
2020-06-05,Brandenburg,3288,156
2020-06-05,Bremen,1498,44
2020-06-05,Hamburg,5107,253
2020-06-05,Hesse,10163,482
2020-06-05,Lower Saxony,12277,604
2020-06-05,North Rhine-Westphalia,38439,1617
2020-06-05,Rhineland-Palatinate,6732,230
2020-06-05,Saarland,2738,166
2020-06-05,Saxony,5315,212
2020-06-05,Saxony-Anhalt,1712,55
2020-06-05,Schleswig-Holstein,3103,146
2020-06-05,Baden-Wuerttemberg,34870,1778
2020-06-04,Mecklenburg-Western Pomerania,763,20
2020-06-04,Thuringia,3033,167
2020-06-04,Rhineland-Palatinate,6719,230
2020-06-04,North Rhine-Westphalia,38297,1611
2020-06-04,Berlin,6901,200
2020-06-04,Brandenburg,3280,156
2020-06-04,Bremen,1462,44
2020-06-04,Hamburg,5096,253
2020-06-04,Hesse,10129,482
2020-06-04,Lower Saxony,12182,601
2020-06-04,Bavaria,47209,2479
2020-06-04,Saarland,2737,164
2020-06-04,Saxony,5312,212
2020-06-04,Saxony-Anhalt,1711,55
2020-06-04,Schleswig-Holstein,3103,146
2020-06-04,Baden-Wuerttemberg,34830,1761
2020-06-03,Lower Saxony,12114,596
2020-06-03,Thuringia,3022,166
2020-06-03,Baden-Wuerttemberg,34813,1760
2020-06-03,Mecklenburg-Western Pomerania,761,20
2020-06-03,Saarland,2735,163
2020-06-03,Rhineland-Palatinate,6712,230
2020-06-03,Brandenburg,3273,156
2020-06-03,Bremen,1447,43
2020-06-03,Hamburg,5098,253
2020-06-03,Hesse,10080,480
2020-06-03,North Rhine-Westphalia,38185,1607
2020-06-03,Berlin,6874,198
2020-06-03,Saxony,5305,212
2020-06-03,Saxony-Anhalt,1707,55
2020-06-03,Schleswig-Holstein,3106,146
2020-06-03,Bavaria,47138,2466
2020-06-02,North Rhine-Westphalia,38100,1599
2020-06-02,Bavaria,47029,2456
2020-06-02,Mecklenburg-Western Pomerania,761,20
2020-06-02,Rhineland-Palatinate,6704,230
2020-06-02,Saarland,2730,163
2020-06-02,Thuringia,3017,163
