,land,date,driving,walking,transit
19980,Baden-Wuerttemberg,2020-01-13,100.0,,
19981,Baden-Wuerttemberg,2020-01-14,100.97,,
19982,Baden-Wuerttemberg,2020-01-15,104.24,,
19983,Baden-Wuerttemberg,2020-01-16,107.7,,
19984,Baden-Wuerttemberg,2020-01-17,115.16,,
19985,Baden-Wuerttemberg,2020-01-18,111.46,,
19986,Baden-Wuerttemberg,2020-01-19,105.96,,
19987,Baden-Wuerttemberg,2020-01-20,101.23,,
19988,Baden-Wuerttemberg,2020-01-21,102.08,,
19989,Baden-Wuerttemberg,2020-01-22,103.52,,
19990,Baden-Wuerttemberg,2020-01-23,104.83,,
19991,Baden-Wuerttemberg,2020-01-24,118.76,,
19992,Baden-Wuerttemberg,2020-01-25,112.39,,
19993,Baden-Wuerttemberg,2020-01-26,104.92,,
19994,Baden-Wuerttemberg,2020-01-27,101.4,,
19995,Baden-Wuerttemberg,2020-01-28,107.6,,
19996,Baden-Wuerttemberg,2020-01-29,106.94,,
19997,Baden-Wuerttemberg,2020-01-30,111.88,,
19998,Baden-Wuerttemberg,2020-01-31,119.41,,
19999,Baden-Wuerttemberg,2020-02-01,114.68,,
20000,Baden-Wuerttemberg,2020-02-02,108.76,,
20001,Baden-Wuerttemberg,2020-02-03,106.5,,
20002,Baden-Wuerttemberg,2020-02-04,109.01,,
20003,Baden-Wuerttemberg,2020-02-05,112.19,,
20004,Baden-Wuerttemberg,2020-02-06,114.25,,
20005,Baden-Wuerttemberg,2020-02-07,122.18,,
20006,Baden-Wuerttemberg,2020-02-08,120.42,,
20007,Baden-Wuerttemberg,2020-02-09,117.91,,
20008,Baden-Wuerttemberg,2020-02-10,109.68,,
20009,Baden-Wuerttemberg,2020-02-11,111.83,,
20010,Baden-Wuerttemberg,2020-02-12,115.65,,
20011,Baden-Wuerttemberg,2020-02-13,114.32,,
20012,Baden-Wuerttemberg,2020-02-14,139.32,,
20013,Baden-Wuerttemberg,2020-02-15,138.27,,
20014,Baden-Wuerttemberg,2020-02-16,118.33,,
20015,Baden-Wuerttemberg,2020-02-17,112.12,,
20016,Baden-Wuerttemberg,2020-02-18,110.94,,
20017,Baden-Wuerttemberg,2020-02-19,113.62,,
20018,Baden-Wuerttemberg,2020-02-20,112.2,,
20019,Baden-Wuerttemberg,2020-02-21,137.06,,
20020,Baden-Wuerttemberg,2020-02-22,129.7,,
20021,Baden-Wuerttemberg,2020-02-23,103.09,,
20022,Baden-Wuerttemberg,2020-02-24,104.92,,
20023,Baden-Wuerttemberg,2020-02-25,104.36,,
20024,Baden-Wuerttemberg,2020-02-26,105.83,,
20025,Baden-Wuerttemberg,2020-02-27,112.11,,
20026,Baden-Wuerttemberg,2020-02-28,123.59,,
20027,Baden-Wuerttemberg,2020-02-29,123.83,,
20028,Baden-Wuerttemberg,2020-03-01,111.67,,
20029,Baden-Wuerttemberg,2020-03-02,102.64,,
20030,Baden-Wuerttemberg,2020-03-03,105.77,,
20031,Baden-Wuerttemberg,2020-03-04,105.2,,
20032,Baden-Wuerttemberg,2020-03-05,108.75,,
20033,Baden-Wuerttemberg,2020-03-06,119.53,,
20034,Baden-Wuerttemberg,2020-03-07,114.63,,
20035,Baden-Wuerttemberg,2020-03-08,109.06,,
20036,Baden-Wuerttemberg,2020-03-09,101.73,,
20037,Baden-Wuerttemberg,2020-03-10,100.67,,
20038,Baden-Wuerttemberg,2020-03-11,98.55,,
20039,Baden-Wuerttemberg,2020-03-12,89.67,,
20040,Baden-Wuerttemberg,2020-03-13,87.16,,
20041,Baden-Wuerttemberg,2020-03-14,76.33,,
20042,Baden-Wuerttemberg,2020-03-15,74.11,,
20043,Baden-Wuerttemberg,2020-03-16,68.28,,
20044,Baden-Wuerttemberg,2020-03-17,62.66,,
20045,Baden-Wuerttemberg,2020-03-18,57.83,,
20046,Baden-Wuerttemberg,2020-03-19,54.73,,
20047,Baden-Wuerttemberg,2020-03-20,50.54,,
20048,Baden-Wuerttemberg,2020-03-21,35.21,,
20049,Baden-Wuerttemberg,2020-03-22,37.72,,
20050,Baden-Wuerttemberg,2020-03-23,43.21,,
20051,Baden-Wuerttemberg,2020-03-24,43.39,,
20052,Baden-Wuerttemberg,2020-03-25,44.61,,
20053,Baden-Wuerttemberg,2020-03-26,45.25,,
20054,Baden-Wuerttemberg,2020-03-27,47.45,,
20055,Baden-Wuerttemberg,2020-03-28,45.83,,
20056,Baden-Wuerttemberg,2020-03-29,40.85,,
20057,Baden-Wuerttemberg,2020-03-30,48.97,,
20058,Baden-Wuerttemberg,2020-03-31,50.81,,
20059,Baden-Wuerttemberg,2020-04-01,51.56,,
20060,Baden-Wuerttemberg,2020-04-02,51.8,,
20061,Baden-Wuerttemberg,2020-04-03,51.31,,
20062,Baden-Wuerttemberg,2020-04-04,48.1,,
20063,Baden-Wuerttemberg,2020-04-05,55.2,,
20064,Baden-Wuerttemberg,2020-04-06,56.28,,
20065,Baden-Wuerttemberg,2020-04-07,58.62,,
20066,Baden-Wuerttemberg,2020-04-08,60.11,,
20067,Baden-Wuerttemberg,2020-04-09,58.26,,
20068,Baden-Wuerttemberg,2020-04-10,52.21,,
20069,Baden-Wuerttemberg,2020-04-11,51.87,,
20070,Baden-Wuerttemberg,2020-04-12,45.96,,
20071,Baden-Wuerttemberg,2020-04-13,56.37,,
20072,Baden-Wuerttemberg,2020-04-14,60.29,,
20073,Baden-Wuerttemberg,2020-04-15,61.26,,
20074,Baden-Wuerttemberg,2020-04-16,64.73,,
20075,Baden-Wuerttemberg,2020-04-17,63.72,,
20076,Baden-Wuerttemberg,2020-04-18,58.12,,
20077,Baden-Wuerttemberg,2020-04-19,64.79,,
20078,Baden-Wuerttemberg,2020-04-20,63.66,,
20079,Baden-Wuerttemberg,2020-04-21,65.45,,
20080,Baden-Wuerttemberg,2020-04-22,67.06,,
20081,Baden-Wuerttemberg,2020-04-23,66.86,,
20082,Baden-Wuerttemberg,2020-04-24,66.45,,
20083,Baden-Wuerttemberg,2020-04-25,62.51,,
20084,Baden-Wuerttemberg,2020-04-26,67.27,,
20085,Baden-Wuerttemberg,2020-04-27,65.65,,
20086,Baden-Wuerttemberg,2020-04-28,65.17,,
20087,Baden-Wuerttemberg,2020-04-29,67.67,,
20088,Baden-Wuerttemberg,2020-04-30,65.55,,
20089,Baden-Wuerttemberg,2020-05-01,60.81,,
20090,Baden-Wuerttemberg,2020-05-02,65.38,,
20091,Baden-Wuerttemberg,2020-05-03,74.89,,
20092,Baden-Wuerttemberg,2020-05-04,71.63,,
20093,Baden-Wuerttemberg,2020-05-05,71.93,,
20094,Baden-Wuerttemberg,2020-05-06,75.65,,
20095,Baden-Wuerttemberg,2020-05-07,78.94,,
20096,Baden-Wuerttemberg,2020-05-08,82.04,,
20097,Baden-Wuerttemberg,2020-05-09,75.53,,
20098,Baden-Wuerttemberg,2020-05-10,77.83,,
20099,Baden-Wuerttemberg,2020-05-13,79.57,,
20100,Baden-Wuerttemberg,2020-05-14,80.28,,
20101,Baden-Wuerttemberg,2020-05-15,87.48,,
20102,Baden-Wuerttemberg,2020-05-16,85.49,,
20103,Baden-Wuerttemberg,2020-05-17,90.9,,
20104,Baden-Wuerttemberg,2020-05-18,90.52,,
20105,Baden-Wuerttemberg,2020-05-19,93.2,,
20106,Baden-Wuerttemberg,2020-05-20,99.89,,
20107,Baden-Wuerttemberg,2020-05-21,101.77,,
20108,Baden-Wuerttemberg,2020-05-22,99.87,,
20109,Baden-Wuerttemberg,2020-05-23,87.41,,
20110,Baden-Wuerttemberg,2020-05-24,99.32,,
20111,Baden-Wuerttemberg,2020-05-25,95.77,,
20112,Baden-Wuerttemberg,2020-05-26,97.38,,
20113,Baden-Wuerttemberg,2020-05-27,100.85,,
20114,Baden-Wuerttemberg,2020-05-28,106.99,,
20115,Baden-Wuerttemberg,2020-05-29,122.36,,
20116,Baden-Wuerttemberg,2020-05-30,114.63,,
20117,Baden-Wuerttemberg,2020-05-31,113.45,,
20118,Baden-Wuerttemberg,2020-06-01,132.26,,
20119,Baden-Wuerttemberg,2020-06-02,119.3,,
20120,Baden-Wuerttemberg,2020-06-03,113.82,,
20121,Baden-Wuerttemberg,2020-06-04,110.42,,
20122,Baden-Wuerttemberg,2020-06-05,113.86,,
20123,Baden-Wuerttemberg,2020-06-06,109.83,,
20124,Baden-Wuerttemberg,2020-06-07,109.33,,
20125,Baden-Wuerttemberg,2020-06-08,111.83,,
20126,Baden-Wuerttemberg,2020-06-09,112.78,,
20127,Baden-Wuerttemberg,2020-06-10,120.78,,
25456,Bavaria,2020-01-13,100.0,,
25457,Bavaria,2020-01-14,101.97,,
25458,Bavaria,2020-01-15,102.79,,
25459,Bavaria,2020-01-16,103.93,,
25460,Bavaria,2020-01-17,119.95,,
25461,Bavaria,2020-01-18,118.58,,
25462,Bavaria,2020-01-19,111.92,,
25463,Bavaria,2020-01-20,100.86,,
25464,Bavaria,2020-01-21,101.62,,
25465,Bavaria,2020-01-22,102.37,,
25466,Bavaria,2020-01-23,103.73,,
25467,Bavaria,2020-01-24,121.84,,
25468,Bavaria,2020-01-25,122.95,,
25469,Bavaria,2020-01-26,111.73,,
25470,Bavaria,2020-01-27,105.08,,
25471,Bavaria,2020-01-28,111.69,,
25472,Bavaria,2020-01-29,104.65,,
25473,Bavaria,2020-01-30,107.99,,
25474,Bavaria,2020-01-31,128.13,,
25475,Bavaria,2020-02-01,132.73,,
25476,Bavaria,2020-02-02,114.76,,
25477,Bavaria,2020-02-03,109.02,,
25478,Bavaria,2020-02-04,107.2,,
25479,Bavaria,2020-02-05,108.52,,
25480,Bavaria,2020-02-06,107.53,,
25481,Bavaria,2020-02-07,139.2,,
25482,Bavaria,2020-02-08,163.25,,
25483,Bavaria,2020-02-09,130.33,,
25484,Bavaria,2020-02-10,106.28,,
25485,Bavaria,2020-02-11,111.02,,
25486,Bavaria,2020-02-12,111.58,,
25487,Bavaria,2020-02-13,118.38,,
25488,Bavaria,2020-02-14,158.46,,
25489,Bavaria,2020-02-15,169.8,,
25490,Bavaria,2020-02-16,126.88,,
25491,Bavaria,2020-02-17,112.92,,
25492,Bavaria,2020-02-18,110.54,,
25493,Bavaria,2020-02-19,111.28,,
25494,Bavaria,2020-02-20,112.6,,
25495,Bavaria,2020-02-21,157.01,,
25496,Bavaria,2020-02-22,159.08,,
25497,Bavaria,2020-02-23,109.61,,
25498,Bavaria,2020-02-24,104.81,,
25499,Bavaria,2020-02-25,104.54,,
25500,Bavaria,2020-02-26,106.43,,
25501,Bavaria,2020-02-27,115.71,,
25502,Bavaria,2020-02-28,128.41,,
25503,Bavaria,2020-02-29,132.84,,
25504,Bavaria,2020-03-01,117.14,,
25505,Bavaria,2020-03-02,103.17,,
25506,Bavaria,2020-03-03,102.75,,
25507,Bavaria,2020-03-04,103.58,,
25508,Bavaria,2020-03-05,106.26,,
25509,Bavaria,2020-03-06,121.07,,
25510,Bavaria,2020-03-07,121.91,,
25511,Bavaria,2020-03-08,117.87,,
25512,Bavaria,2020-03-09,98.64,,
25513,Bavaria,2020-03-10,99.47,,
25514,Bavaria,2020-03-11,97.35,,
25515,Bavaria,2020-03-12,90.7,,
25516,Bavaria,2020-03-13,91.88,,
25517,Bavaria,2020-03-14,79.7,,
25518,Bavaria,2020-03-15,77.62,,
25519,Bavaria,2020-03-16,67.12,,
25520,Bavaria,2020-03-17,61.34,,
25521,Bavaria,2020-03-18,59.14,,
25522,Bavaria,2020-03-19,54.98,,
25523,Bavaria,2020-03-20,52.09,,
25524,Bavaria,2020-03-21,25.24,,
25525,Bavaria,2020-03-22,31.03,,
25526,Bavaria,2020-03-23,39.09,,
25527,Bavaria,2020-03-24,39.45,,
25528,Bavaria,2020-03-25,40.09,,
25529,Bavaria,2020-03-26,41.53,,
25530,Bavaria,2020-03-27,42.03,,
25531,Bavaria,2020-03-28,38.08,,
