date_index,date,land,confirmed,dead,name,iso_code,capital,area,population,confirmed_change,confirmed_change_3w,confirmed_change_pct,confirmed_growth_pct_3w,confirmed_doubling_days,confirmed_doubling_days_3w,confirmed_active_cases,confirmed_active_cases_change,confirmed_peak_log,confirmed_peak_date,confirmed_day_since_10,population_100k,confirmed_per_100k,confirmed_change_per_100k,confirmed_active_cases_per_100k,confirmed_active_cases_change_per_100k,dead_change,dead_change_3w,dead_change_pct,dead_growth_pct_3w,dead_doubling_days,dead_doubling_days_3w,lethality,dead_day_since_10,dead_per_100k,dead_change_per_100k
2020-03-04,2020-03-04,Baden-Wuerttemberg,50,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,,,,,0.0,0.0,,,,-1,1,110.7,0.45,,,,,,,,0.0,0.0,,0,0.0,
2020-03-05,2020-03-05,Baden-Wuerttemberg,73,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,23.0,,46.0,,0.18,0.0,,,,0,2,110.7,0.66,0.21,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-06,2020-03-06,Baden-Wuerttemberg,96,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,23.0,,31.51,,0.2,0.0,,,,0,3,110.7,0.87,0.21,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-07,2020-03-07,Baden-Wuerttemberg,170,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,74.0,,77.08,,0.16,0.0,,,,0,4,110.7,1.54,0.67,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-08,2020-03-08,Baden-Wuerttemberg,182,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,12.0,,7.06,,0.33,0.0,,,,0,5,110.7,1.64,0.11,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-09,2020-03-09,Baden-Wuerttemberg,204,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,22.0,,12.09,,0.27,0.0,,,,0,6,110.7,1.84,0.2,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-10,2020-03-10,Baden-Wuerttemberg,237,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,33.0,,16.18,,0.24,0.0,,,,0,7,110.7,2.14,0.3,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-11,2020-03-11,Baden-Wuerttemberg,277,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,40.0,,16.88,,0.24,0.0,,,,0,8,110.7,2.5,0.36,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-12,2020-03-12,Baden-Wuerttemberg,454,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,177.0,,63.9,,0.17,0.0,,,,0,9,110.7,4.1,1.6,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-13,2020-03-13,Baden-Wuerttemberg,454,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,0.0,,0.0,,100.0,0.0,,,,0,10,110.7,4.1,0.0,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-14,2020-03-14,Baden-Wuerttemberg,569,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,115.0,,25.33,,0.21,0.0,,,,0,11,110.7,5.14,1.04,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-15,2020-03-15,Baden-Wuerttemberg,827,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,258.0,,45.34,,0.18,0.0,,,,0,12,110.7,7.47,2.33,,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-16,2020-03-16,Baden-Wuerttemberg,1105,0,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,278.0,,33.62,,0.2,0.0,1055.0,,3.1,0,13,110.7,9.98,2.51,9.53,,0.0,,,,0.0,0.0,,0,0.0,0.0
2020-03-17,2020-03-17,Baden-Wuerttemberg,1479,2,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,374.0,,33.85,,0.2,0.0,1406.0,351.0,3.01,0,14,110.7,13.36,3.38,12.7,3.17,2.0,,,,0.0,0.0,,0,0.02,0.02
2020-03-18,2020-03-18,Baden-Wuerttemberg,1609,2,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,130.0,,8.79,,0.3,0.0,1513.0,107.0,2.82,0,15,110.7,14.54,1.17,13.67,0.97,0.0,,0.0,,100.0,0.0,,0,0.02,0.0
2020-03-19,2020-03-19,Baden-Wuerttemberg,2155,6,Baden-Wuerttemberg,BW,Stuttgart,35677,11069533,546.0,,33.93,,0.2,0.0,1985.0,472.0,2.54,0,16,110.7,19.47,4.93,17.93,4.26,4.0,,200.0,,0.13,0.0,,0,0.05,0.04
