land,confirmed,dead,date
Baden-Wuerttemberg,37272,1847,2020-08-01
Bavaria,51068,2622,2020-08-01
Berlin,9274,223,2020-08-01
Brandenburg,3565,168,2020-08-01
Bremen,1781,56,2020-08-01
Hamburg,5405,261,2020-08-01
Hesse,12029,520,2020-08-01
Mecklenburg-Western Pomerania,868,20,2020-08-01
Lower Saxony,14499,652,2020-08-01
North Rhine-Westphalia,49102,1739,2020-08-01
Rhineland-Palatinate,7533,239,2020-08-01
Saarland,2874,174,2020-08-01
Saxony,5541,225,2020-08-01
Saxony-Anhalt,2022,64,2020-08-01
Schleswig-Holstein,3451,156,2020-08-01
Thuringia,3369,182,2020-08-01
