dates,region,driving,walking,transit,date
2020-01-13,Berlin,100.0,100.0,100.0,2020-01-13
2020-01-14,Berlin,105.36,107.17,104.84,2020-01-14
2020-01-15,Berlin,107.04,111.6,104.32,2020-01-15
2020-01-16,Berlin,109.71,116.41,109.63,2020-01-16
2020-01-17,Berlin,116.27,134.55,119.85,2020-01-17
2020-01-18,Berlin,110.4,149.26,121.96,2020-01-18
2020-01-19,Berlin,98.89,99.5,100.37,2020-01-19
2020-01-20,Berlin,101.88,95.27,98.47,2020-01-20
2020-01-21,Berlin,103.34,101.05,101.49,2020-01-21
2020-01-22,Berlin,100.95,99.09,100.53,2020-01-22
2020-01-23,Berlin,102.77,106.89,105.14,2020-01-23
2020-01-24,Berlin,110.28,127.18,115.72,2020-01-24
2020-01-25,Berlin,106.29,134.96,120.86,2020-01-25
2020-01-26,Berlin,92.04,87.69,95.89,2020-01-26
2020-01-27,Berlin,103.97,98.24,99.29,2020-01-27
2020-01-28,Berlin,109.13,96.32,101.01,2020-01-28
2020-01-29,Berlin,102.16,97.17,98.79,2020-01-29
2020-01-30,Berlin,108.05,105.93,104.58,2020-01-30
2020-01-31,Berlin,120.15,134.49,116.97,2020-01-31
2020-02-01,Berlin,105.44,131.71,116.51,2020-02-01
2020-02-02,Berlin,93.07,92.85,101.18,2020-02-02
2020-02-03,Berlin,100.63,97.33,103.25,2020-02-03
2020-02-04,Berlin,100.7,98.23,103.06,2020-02-04
2020-02-05,Berlin,99.76,97.71,99.91,2020-02-05
2020-02-06,Berlin,100.91,100.65,102.05,2020-02-06
2020-02-07,Berlin,109.82,124.78,112.29,2020-02-07
2020-02-08,Berlin,108.3,144.6,117.4,2020-02-08
2020-02-09,Berlin,92.91,97.19,95.13,2020-02-09
2020-02-10,Berlin,101.56,98.04,103.37,2020-02-10
2020-02-11,Berlin,104.01,103.72,104.9,2020-02-11
2020-02-12,Berlin,105.26,110.9,107.04,2020-02-12
2020-02-13,Berlin,110.55,122.99,115.33,2020-02-13
2020-02-14,Berlin,123.98,150.48,125.41,2020-02-14
2020-02-15,Berlin,116.22,167.42,128.95,2020-02-15
2020-02-16,Berlin,98.32,106.55,105.08,2020-02-16
2020-02-17,Berlin,107.4,118.9,115.42,2020-02-17
2020-02-18,Berlin,108.75,118.43,113.66,2020-02-18
2020-02-19,Berlin,111.06,118.34,116.4,2020-02-19
2020-02-20,Berlin,113.46,129.47,120.85,2020-02-20
2020-02-21,Berlin,119.89,155.62,133.78,2020-02-21
2020-02-22,Berlin,115.21,169.47,136.3,2020-02-22
2020-02-23,Berlin,98.39,106.02,111.76,2020-02-23
2020-02-24,Berlin,108.68,126.17,117.28,2020-02-24
2020-02-25,Berlin,110.96,128.0,118.81,2020-02-25
2020-02-26,Berlin,107.15,111.35,112.76,2020-02-26
2020-02-27,Berlin,110.79,126.36,120.1,2020-02-27
2020-02-28,Berlin,116.54,147.36,128.94,2020-02-28
2020-02-29,Berlin,110.85,157.32,130.05,2020-02-29
2020-03-01,Berlin,97.64,105.68,108.14,2020-03-01
2020-03-02,Berlin,100.72,106.79,104.79,2020-03-02
2020-03-03,Berlin,104.31,100.12,100.77,2020-03-03
2020-03-04,Berlin,99.51,98.94,99.0,2020-03-04
2020-03-05,Berlin,103.42,107.85,101.77,2020-03-05
2020-03-06,Berlin,110.47,122.55,112.71,2020-03-06
2020-03-07,Berlin,106.0,137.77,118.9,2020-03-07
2020-03-08,Berlin,94.93,99.11,96.27,2020-03-08
2020-03-09,Berlin,97.52,97.33,94.35,2020-03-09
2020-03-10,Berlin,96.65,86.73,90.74,2020-03-10
2020-03-11,Berlin,94.53,96.43,87.2,2020-03-11
2020-03-12,Berlin,89.6,85.72,80.36,2020-03-12
2020-03-13,Berlin,83.87,83.72,72.41,2020-03-13
2020-03-14,Berlin,75.05,89.4,66.06,2020-03-14
2020-03-15,Berlin,64.53,60.87,49.47,2020-03-15
2020-03-16,Berlin,70.44,60.39,47.0,2020-03-16
2020-03-17,Berlin,64.33,51.35,40.55,2020-03-17
2020-03-18,Berlin,61.48,49.84,37.04,2020-03-18
2020-03-19,Berlin,54.14,38.72,29.56,2020-03-19
2020-03-20,Berlin,47.77,33.53,24.92,2020-03-20
2020-03-21,Berlin,39.78,33.29,21.68,2020-03-21
2020-03-22,Berlin,39.65,33.19,21.06,2020-03-22
2020-03-23,Berlin,42.73,31.1,21.72,2020-03-23
2020-03-24,Berlin,43.27,32.98,21.28,2020-03-24
2020-03-25,Berlin,43.73,31.89,21.65,2020-03-25
2020-03-26,Berlin,45.51,35.8,21.35,2020-03-26
2020-03-27,Berlin,46.58,38.27,21.89,2020-03-27
2020-03-28,Berlin,43.64,43.8,20.87,2020-03-28
2020-03-29,Berlin,35.17,21.18,19.33,2020-03-29
2020-03-30,Berlin,44.38,27.02,22.03,2020-03-30
2020-03-31,Berlin,47.67,31.74,24.39,2020-03-31
2020-04-01,Berlin,48.71,34.7,22.88,2020-04-01
2020-04-02,Berlin,49.06,34.15,23.02,2020-04-02
2020-04-03,Berlin,46.72,33.84,21.69,2020-04-03
2020-04-04,Berlin,43.35,42.15,21.73,2020-04-04
2020-04-05,Berlin,50.19,50.01,23.86,2020-04-05
2020-04-06,Berlin,56.9,46.89,27.69,2020-04-06
2020-04-07,Berlin,58.36,47.76,27.25,2020-04-07
2020-04-08,Berlin,59.2,48.57,26.52,2020-04-08
2020-04-09,Berlin,54.24,43.16,25.09,2020-04-09
2020-04-10,Berlin,45.64,47.78,24.77,2020-04-10
2020-04-11,Berlin,46.55,44.67,22.44,2020-04-11
